product_id,ts_create,ts_update,bank_id,status,address_id,company_id,agent_id,email_agent_id,phone_agent_id,direction_id,partner_company_id,online_id,channel_id,source_id,system_id
0,145815846.0,146505522.0,934,5,2883,38787,128,183,62,8,50,10212,9025,0,4
5,145815846.0,146504454.0,215,9,351,32888,39,127,32,14,76,10211,9026,0,4
3,145815846.0,146237736.0,89,1,2916,30406,128,183,62,8,50,10210,9027,0,4
0,145815846.0,146505834.0,890,9,488,36454,135,140,104,8,49,10209,9028,0,4
0,145815852.0,145815852.0,899,2,0,35841,128,183,62,8,50,10208,9029,0,4
5,145815852.0,145946466.0,11,1,1854,15556,165,46,56,14,33,10207,9030,0,4
0,145815852.0,145924404.0,455,1,2852,28029,128,183,62,8,50,10206,9119,0,4
0,145815852.0,146238462.0,757,9,2776,6902,135,140,104,8,49,10205,9177,0,4
4,145815852.0,145821480.0,544,0,0,41114,171,168,42,12,57,10204,56,1,2
0,145815852.0,146504118.0,901,5,471,29170,128,183,62,8,50,10203,9178,0,4
5,145815852.0,146504088.0,899,9,1939,36095,39,127,32,14,76,10202,9179,0,4
5,145815852.0,146506014.0,111,4,294,704,165,46,56,14,33,10201,9325,0,4
